# Sensor Masthugget, Majorna-Linné, Sweden (Citizen Science project sensor.community/13439)
# https://aqicn.org/station/@60853/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-05-25T00:00:00.000Z,0.78,18.3,1.82,1.4,3.03,1.585,538
2020-05-26T00:00:00.000Z,0.6,5.2,2.25,1.46,3.16,1.08,493
2020-05-27T00:00:00.000Z,0.3,5.77,1.47,0.78,3.1,1.508,510
2020-05-28T00:00:00.000Z,0.1,7.78,0.63,0.4,0.9,0.561,527
2020-05-29T00:00:00.000Z,0.3,15.48,0.9,0.7,1.3,0.835,535
2020-05-30T00:00:00.000Z,0.23,2.77,0.74,0.6,1.14,0.454,558
2020-05-31T00:00:00.000Z,0,3.02,0.35,0.2,0.6,0.29,495
2020-06-01T00:00:00.000Z,0.13,2.8,0.5,0.37,0.7,0.419,482
2020-06-02T00:00:00.000Z,0.1,25.17,0.5,0.3,0.78,1.417,524
2020-06-03T00:00:00.000Z,0.5,4.5,1.35,0.9,1.7,0.56,452
2020-06-04T00:00:00.000Z,0.4,3.05,0.82,0.7,0.98,0.297,526
2020-06-05T00:00:00.000Z,0.2,4.37,1.07,0.56,1.8,0.756,452
2020-06-06T00:00:00.000Z,0.2,7.55,1.1,0.77,1.57,0.732,484
2020-06-07T00:00:00.000Z,0.4,3.83,1.12,0.9,1.4,0.424,532
2020-06-08T00:00:00.000Z,0.5,3.7,1.36,1.02,1.65,0.436,518
2020-06-09T00:00:00.000Z,0.8,3.52,1.42,1.25,1.7,0.358,483
2020-06-10T00:00:00.000Z,0.53,3.62,1.32,1.1,1.62,0.494,517
2020-06-11T00:00:00.000Z,0.3,3.02,0.7,0.56,1,0.326,556
2020-06-12T00:00:00.000Z,0.3,2.52,1.07,0.82,1.27,0.357,567
2020-06-13T00:00:00.000Z,0.9,3.58,1.9,1.5,2.5,0.609,542
2020-06-14T00:00:00.000Z,0.8,3.05,1.45,1.3,1.65,0.291,344
2020-06-15T00:00:00.000Z,0.8,6.1,1.47,1.3,1.7,0.533,556
2020-06-16T00:00:00.000Z,0.68,6.47,2.1,1.62,2.8,1.133,567
2020-06-17T00:00:00.000Z,1.4,5.67,2.9,2.45,3.9,0.95,540
2020-06-18T00:00:00.000Z,1.42,4.87,3.3,2.76,3.77,0.717,501
2020-06-19T00:00:00.000Z,1.6,16.6,3.75,2.09,6.02,2.38,480
2020-06-20T00:00:00.000Z,1.6,11.22,3.52,2.54,6,2.266,531
2020-06-21T00:00:00.000Z,1,14.28,3.22,2.08,9.15,3.806,575
2020-06-22T00:00:00.000Z,0.2,3.67,2.04,1.27,2.5,0.782,549
2020-06-23T00:00:00.000Z,0.9,6.95,2.47,1.7,2.92,0.756,565
2020-06-24T00:00:00.000Z,0.72,20.55,2.83,1.85,3.41,2.961,577
2020-06-25T00:00:00.000Z,0.8,29.27,2.1,1.45,3.12,1.74,562
2020-06-26T00:00:00.000Z,1.4,21.2,3.83,2.85,5.19,1.706,561
2020-06-27T00:00:00.000Z,1.1,12.13,3.25,2.65,4.21,2.389,513
2020-06-28T00:00:00.000Z,0.62,10.25,4.3,1.67,5.17,2.259,443
2020-06-29T00:00:00.000Z,0.6,2.7,1.02,0.9,1.22,0.251,477
2020-06-30T00:00:00.000Z,0.4,2.54,1.3,0.93,1.6,0.415,465
2020-07-01T00:00:00.000Z,0.6,3.02,1.5,1.14,1.87,0.498,454
2020-07-02T00:00:00.000Z,0.3,2.29,0.8,0.7,1.02,0.344,453
2020-07-03T00:00:00.000Z,0.1,17.02,0.55,0.4,0.8,0.852,464
2020-07-04T00:00:00.000Z,0.2,2.52,1.02,0.75,1.42,0.464,489
2020-07-05T00:00:00.000Z,0.1,3.22,1.4,1.1,1.7,0.506,471
2020-07-06T00:00:00.000Z,0.42,5.09,1.3,1,1.5,0.762,279
2020-07-07T00:00:00.000Z,0.2,119.6,0.85,0.68,1.05,6.479,435
2020-07-08T00:00:00.000Z,0,3.37,0.3,0.2,0.55,0.392,436
2020-07-09T00:00:00.000Z,0.3,2.17,0.72,0.6,1.05,0.396,467
2020-07-10T00:00:00.000Z,0.35,2.47,0.8,0.6,1.07,0.384,446
2020-07-11T00:00:00.000Z,0.2,2.77,0.8,0.6,1.57,0.611,338
2020-07-12T00:00:00.000Z,0.35,2.77,1.1,0.7,1.62,0.559,411
2020-07-13T00:00:00.000Z,0.5,5.3,1.1,0.9,1.47,0.479,415
2020-07-14T00:00:00.000Z,0.93,5.08,2.17,1.67,2.75,0.885,439
2020-07-15T00:00:00.000Z,0.4,6.87,1.1,0.88,1.52,1.276,346
2020-07-16T00:00:00.000Z,0.6,3.47,1.5,1.02,1.8,0.538,322
2020-07-17T00:00:00.000Z,0.42,8.18,1.4,1,2.1,0.83,487
2020-07-18T00:00:00.000Z,0.2,4.55,1.4,0.84,2.31,0.938,444
2020-07-19T00:00:00.000Z,1.8,6.9,2.92,2.4,3.6,0.8,171
2020-07-20T00:00:00.000Z,0.42,2.54,1.22,0.82,1.6,0.441,193
2020-07-21T00:00:00.000Z,0.15,2.37,0.6,0.4,0.9,0.424,259
2020-07-22T00:00:00.000Z,0.03,5.5,1.04,0.3,1.47,0.734,274
2020-07-23T00:00:00.000Z,0.1,3.92,0.8,0.5,1.02,0.377,297
2020-07-24T00:00:00.000Z,0.3,3.47,0.75,0.6,1.22,0.464,384
2020-07-25T00:00:00.000Z,0.4,2.7,1.12,0.9,1.3,0.351,82
2020-07-26T00:00:00.000Z,0.68,4.95,1.95,1.5,2.35,0.631,439
2020-07-27T00:00:00.000Z,0.23,3.33,1.42,1,2.29,0.747,278
2020-07-28T00:00:00.000Z,0.53,4.97,1.4,1.06,2,0.654,412
2020-07-29T00:00:00.000Z,0.6,2.85,1.3,1.1,1.57,0.403,321
2020-07-30T00:00:00.000Z,0.95,2.77,1.7,1.45,1.98,0.359,408
2020-07-31T00:00:00.000Z,0.5,7.75,1.4,1.1,1.98,0.784,424
2020-08-01T00:00:00.000Z,0.3,3.65,1.12,0.93,1.57,0.605,420
2020-08-02T00:00:00.000Z,0.65,7.28,1.41,1.1,1.94,0.812,412
2020-08-03T00:00:00.000Z,0.28,2.85,1.35,0.82,1.8,0.565,414
2020-08-04T00:00:00.000Z,0.23,2.4,0.7,0.56,0.9,0.389,471
2020-08-05T00:00:00.000Z,0.3,6.78,2.67,1,3.85,1.59,503
2020-08-06T00:00:00.000Z,0.62,3.58,1.57,1.2,1.95,0.621,387
2020-08-07T00:00:00.000Z,0.8,6.62,1.65,1.35,1.95,0.704,514
2020-08-08T00:00:00.000Z,0.88,6.78,1.57,1.32,2.1,0.95,467
2020-08-09T00:00:00.000Z,0.3,7.45,3.1,1.47,3.8,1.577,521
2020-08-10T00:00:00.000Z,0.95,6.75,2.99,2.33,4.05,1.074,522
2020-08-11T00:00:00.000Z,0.72,7.17,1.84,1.35,2.45,1.555,522
2020-08-12T00:00:00.000Z,0.4,4.72,1.05,0.8,1.72,0.579,526
2020-08-13T00:00:00.000Z,0.8,3.8,1.6,1.25,2.04,0.528,532
2020-08-14T00:00:00.000Z,1.12,5.45,2.08,1.8,2.6,0.581,473
2020-08-15T00:00:00.000Z,2.1,7.83,4.09,3.2,5.05,1.198,490
2020-08-16T00:00:00.000Z,2.15,8.38,4.62,3.2,5.64,1.311,485
2020-08-17T00:00:00.000Z,3.05,9.19,5.12,3.8,5.92,1.57,525
2020-08-18T00:00:00.000Z,2.5,9.85,5.33,3.5,6.72,1.657,523
2020-08-19T00:00:00.000Z,1.2,13.9,4.46,3.29,8.02,2.818,516
2020-08-20T00:00:00.000Z,1,6.72,2.91,2.37,4.15,1.238,518
2020-08-21T00:00:00.000Z,1.2,9.43,2.9,2.1,3.6,1.869,514
2020-08-22T00:00:00.000Z,0.95,3.52,2.04,1.72,2.4,0.495,471
2020-08-23T00:00:00.000Z,0.7,2.25,1.2,1,1.4,0.288,494
2020-08-24T00:00:00.000Z,0,1.1,0.4,0.3,0.5,0.187,429
2020-08-25T00:00:00.000Z,0.03,1.6,0.3,0.2,0.44,0.216,441
2020-08-26T00:00:00.000Z,0.23,1.95,0.7,0.5,0.9,0.277,452
